feature,importance
monetary,0.08404830101858873
total_units,0.06643010786495138
frequency,0.06603534830225413
total_activity_invoices,0.061082707854442135
tenure_days,0.05266973515211216
purchase_rate_per_90d,0.05091524002071476
average_days_between_orders,0.04994957681060779
last_90d_revenue,0.04888241441534174
unique_products,0.046979558192872174
revenue_change_ratio_90d,0.04225673246306442
last_90d_units,0.04224888637527888
snapshot_month_cos,0.04011258782593735
average_order_value,0.039595734414200674
snapshot_month_sin,0.0382851526362184
last_90d_orders,0.03799861174520987
recency_days,0.035331768315409226
revenue_change_90d,0.034629804142441975
previous_90d_revenue,0.034344056664023265
customer_age_days,0.03269178370591846
previous_90d_units,0.02929339053357108
last_30d_revenue,0.013709372478394296
last_30d_units,0.013024329529663018
previous_90d_orders,0.011740205844869248
return_invoice_rate,0.011012438643964647
return_invoices,0.00568091649888842
orders_change_90d,0.005344288868588768
last_30d_orders,0.003039194274829769
return_invoices_last_90d,0.0026677554076434515
