rfm_segment,customers,total_historical_revenue,total_expected_revenue_clv_12m,mean_expected_revenue_clv_12m,median_expected_revenue_clv_12m,mean_probability_alive,predictive_revenue_share_pct
Champions,1423,12189047.705,6299907.319761262,4427.201208546214,2088.9677438461954,0.9842745412902084,65.92237473889118
Loyal Customers,1190,2561370.566,1501979.6097055401,1262.167739248353,838.0040502784666,0.9435689557212601,15.716749097339786
Potential Loyalists,261,339225.11,544882.5206049511,2087.672492739276,672.1865580517277,0.9449747326692005,5.701663197380558
About to Sleep,913,399892.47000000003,334773.6634488132,366.67433017394654,296.8308592396908,0.9479601640114145,3.5030792953665886
Cannot Lose Them,298,1056759.0320000001,186409.1836694425,625.5341733873909,387.2638699142742,0.5295123424613263,1.9505899748844973
At Risk,431,518199.94,173782.67534547282,403.2080634465727,295.77773377988797,0.687701462951249,1.8184659020802008
Promising,164,54716.41,160667.68679118337,979.6810170194108,980.8140815400616,1.0,1.6812303609381605
Hibernating,954,418462.662,159868.06392439004,167.5765869228407,156.6645466543718,0.9179058438765998,1.6728630889135085
New Customers,75,26034.48,100117.34567045135,1334.8979422726848,1321.471150162911,1.0,1.0476302021853723
Need Attention,169,121752.263,94165.90037081268,557.194676750371,413.0229747144412,0.9057915088919261,0.9853541420201475
