country,revenue,sales_rows,orders,customers,units_sold,average_order_value
United Kingdom,17814055.927,946587,37309,5350,9349186,477.47342268621514
EIRE,664050.09,17329,636,5,340054,1044.1039150943395
Netherlands,554230.69,5087,229,22,383976,2420.22135371179
Germany,430703.791,16670,804,107,227769,535.7012325870647
France,356746.51,13907,633,95,275090,563.5805845181675
Australia,169900.61,1811,97,15,104080,1751.552680412371
Spain,109127.21,3707,156,41,50774,699.5333974358974
Switzerland,100988.99,3128,94,22,52872,1074.3509574468085
Sweden,91869.82,1336,105,19,88633,874.9506666666667
Denmark,69862.19,798,44,12,237925,1587.7770454545455
Belgium,65733.92,3067,150,29,35296,438.22613333333334
Norway,60109.62,1436,47,13,27203,1278.928085106383
Portugal,57948.05,2550,99,24,28379,585.3338383838384
Japan,47138.39,485,35,10,33327,1346.8111428571428
Channel Islands,44986.86,1568,56,13,21476,803.3367857142857
Italy,32535.97,1466,66,17,15476,492.96924242424245
Finland,29925.54,1032,57,14,14375,525.0094736842105
Singapore,25317.06,339,11,1,6994,2301.550909090909
Cyprus,24849.95,1136,37,11,10950,671.6202702702703
Hong Kong,23685.52,354,15,0,7021,1579.0346666666667
Austria,23613.010000000002,922,45,13,11578,524.7335555555557
Greece,19096.19,657,18,5,7724,1060.8994444444443
Israel,11328.81,366,10,4,5538,1132.8809999999999
United Arab Emirates,11097.63,467,16,4,7321,693.601875
Unspecified,10927.16,748,24,6,6729,455.29833333333335
Poland,10902.45,512,29,6,5828,375.946551724138
USA,8366.86,409,20,9,5264,418.343
Malta,8099.09,282,9,2,2519,899.8988888888889
Lithuania,6553.74,189,10,1,2958,655.374
Iceland,5633.32,253,9,1,3286,625.9244444444444
Canada,4883.04,228,8,5,3657,610.38
RSA,4804.32,167,4,2,1970,1201.08
Bahrain,3109.79,124,10,2,1339,310.979
Thailand,3070.54,76,2,1,2552,1535.27
Lebanon,1905.58,57,2,1,458,952.79
Brazil,1411.87,94,2,2,545,705.935
European Community,1300.25,60,4,1,499,325.0625
Bermuda,1253.1399999999999,34,1,0,2798,1253.1399999999999
Korea,1118.51,53,2,2,700,559.255
Czech Republic,826.74,25,2,1,671,413.37
West Indies,536.41,54,1,1,395,536.41
Saudi Arabia,145.92,9,1,1,80,145.92
Nigeria,140.39,30,2,1,103,70.195
