customer_id,frequency,recency,T,monetary_value,probability_alive,expected_purchases_90d,expected_purchases_180d,expected_purchases_365d,expected_transaction_value,expected_revenue_clv_12m,historical_orders,historical_revenue,historical_units,historical_aov,first_purchase,last_purchase,clv_value_tier,rfm_segment,rfm_value_tier,rfm_total_score,rfm_action,ml_cluster,cluster_name,cluster_action
12346,7.0,400.0,725.0,11066.637142857144,0.5689752189187348,0.49607646313433157,0.9871936908015013,1.9830927391923325,10719.935720124153,21272.932685546424,12,77556.46,74285,6463.038333333334,2009-12-14 08:34:00,2011-01-18 10:01:00,Strategic,Cannot Lose Them,High Value,12,High-priority retention intervention; consider direct outreach and strong personalized incentives.,1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
12347,7.0,402.0,404.0,717.3985714285715,0.9870320007586287,1.4518654676876759,2.88071274208609,5.758904925112651,708.2993237456755,4081.750291324841,9,5633.32,3286,625.9244444444444,2010-10-31 14:20:00,2011-12-07 15:52:00,High,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
12348,4.0,363.0,438.0,449.31,0.9589865371291085,0.7986589415242623,1.5857899883422317,3.173824597150154,448.7053985732787,1425.0643888701552,5,2019.3999999999999,2714,403.88,2010-09-27 14:59:00,2011-09-25 13:13:00,Core,Loyal Customers,High Value,11,"Strengthen loyalty through personalized offers, cross-selling, and loyalty rewards.",2,Established Moderate-Value Customers,"Increase purchase frequency through cross-selling, personalized recommendations, and loyalty incentives."
12349,3.0,571.0,589.0,1120.0566666666666,0.9732638194624106,0.48860577317699716,0.9717330613815177,1.9500324741154922,1070.3389818925193,2088.597803664211,4,4428.69,1624,1107.1725,2010-04-29 13:20:00,2011-11-21 09:51:00,High,Loyal Customers,High Value,13,"Strengthen loyalty through personalized offers, cross-selling, and loyalty rewards.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
12350,0.0,0.0,310.0,0.0,1.0,0.15413997680470545,0.3059611365909022,0.6121409353853016,438.4599506189272,268.57865385773204,1,334.4,197,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,Developing,About to Sleep,Low Value,5,Trigger low-cost reactivation campaigns.,3,Dormant One-Time Customers,Use low-cost automated win-back campaigns and avoid expensive retention offers unless future value justifies them.
12351,0.0,0.0,375.0,0.0,1.0,0.13122222764749522,0.26072465692032765,0.5224425417529158,438.4599506189272,229.22362487632284,1,300.93,261,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,Developing,About to Sleep,Low Value,5,Trigger low-cost reactivation campaigns.,3,Dormant One-Time Customers,Use low-cost automated win-back campaigns and avoid expensive retention offers unless future value justifies them.
12352,8.0,356.0,392.0,338.26125,0.977290335223191,1.668511206609136,3.3097982248821984,6.614276552522972,341.13296600586517,2257.852433168123,10,2849.84,724,284.98400000000004,2010-11-12 10:20:00,2011-11-03 14:37:00,High,Champions,High Value,13,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
12353,1.0,204.0,408.0,89.0,0.8920900123242099,0.2793113346614941,0.554790034616523,1.1110597395711448,155.73607904136983,173.14790782568318,2,406.76,212,203.38,2010-10-27 12:44:00,2011-05-19 17:47:00,Developing,About to Sleep,Low Value,6,Trigger low-cost reactivation campaigns.,2,Established Moderate-Value Customers,"Increase purchase frequency through cross-selling, personalized recommendations, and loyalty incentives."
12354,0.0,0.0,232.0,0.0,1.0,0.1950187838684915,0.3864693586626962,0.7712837967714853,438.4599506189272,338.40210397015693,1,1079.4,530,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,Developing,About to Sleep,Medium Value,6,Trigger low-cost reactivation campaigns.,3,Dormant One-Time Customers,Use low-cost automated win-back campaigns and avoid expensive retention offers unless future value justifies them.
12355,1.0,353.0,567.0,459.4,0.9142949569994177,0.21397274235886418,0.42567421881237794,0.85468209126716,455.4010960107147,389.48487056577915,2,947.61,543,473.805,2010-05-21 11:59:00,2011-05-09 13:49:00,Developing,About to Sleep,Medium Value,7,Trigger low-cost reactivation campaigns.,2,Established Moderate-Value Customers,"Increase purchase frequency through cross-selling, personalized recommendations, and loyalty incentives."
12356,5.0,402.0,424.0,1092.258,0.9786110660880677,1.0190883254730907,2.022883502896701,4.046748581881094,1062.7840525870067,4303.693053583944,6,6371.7300000000005,3416,1061.9550000000002,2010-10-11 09:42:00,2011-11-17 08:40:00,High,Champions,High Value,13,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
12357,1.0,355.0,388.0,6207.67,0.9491421977292726,0.31036513549184375,0.616308542040454,1.2337381036378074,5105.928706956654,6303.592250134675,3,18287.66,6587,6095.886666666666,2010-11-16 10:05:00,2011-11-06 16:07:00,Strategic,Loyal Customers,High Value,12,"Strengthen loyalty through personalized offers, cross-selling, and loyalty rewards.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
