customer_id,first_purchase,last_purchase,frequency,monetary,total_units,unique_products,recency,tenure_days,average_order_value,r_score,f_score,m_score,rfm_total_score,rfm_code,segment,value_tier,recommended_action
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,77556.46,74285,27,326,400,6463.038333333334,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
16754,2010-03-08 11:32:00,2010-12-02 17:38:00,30,67502.47,67831,38,372,269,2250.0823333333333,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
17850,2009-12-05 12:28:00,2010-12-02 15:27:00,189,56600.08,22785,100,372,362,299.47132275132276,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
13093,2009-12-04 10:32:00,2011-03-09 12:14:00,56,54943.65,26227,199,276,460,981.1366071428572,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
15749,2011-01-11 12:55:00,2011-04-18 13:20:00,3,44534.3,18028,5,235,97,14844.766666666668,2,3,5,10,235,At Risk,High Value,Prioritize retention campaigns and investigate the reason for declining engagement.
13902,2009-12-15 10:02:00,2010-03-17 13:09:00,5,34095.26,220600,58,632,92,6819.052000000001,1,4,5,10,145,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
12482,2010-02-24 10:24:00,2010-05-12 16:51:00,29,23691.4,27042,42,576,77,816.944827586207,1,5,5,11,155,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
14063,2009-12-08 13:46:00,2010-09-27 16:18:00,9,22710.2,3850,30,438,293,2523.355555555556,1,5,5,11,155,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
15808,2009-12-01 16:30:00,2011-02-06 14:33:00,22,18133.3,7080,348,306,431,824.2409090909091,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
17448,2010-03-04 17:29:00,2010-07-30 14:07:00,46,14523.67,11534,569,497,147,315.7319565217391,1,5,5,11,155,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
15032,2009-12-10 15:27:00,2011-03-28 15:03:00,10,13780.65,8259,39,256,472,1378.065,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
13952,2009-12-16 09:41:00,2011-05-06 09:00:00,14,12823.521,5947,238,218,505,915.9657857142857,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
14134,2009-12-10 09:25:00,2010-11-22 12:26:00,15,11123.35,5814,130,383,347,741.5566666666667,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
14028,2010-06-07 12:02:00,2010-06-07 13:33:00,3,10396.5,7170,3,550,0,3465.5,1,3,5,9,135,At Risk,High Value,Prioritize retention campaigns and investigate the reason for declining engagement.
14828,2009-12-07 11:19:00,2011-05-27 10:16:00,13,9839.460000000001,9718,72,197,535,756.8815384615385,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
17504,2010-02-08 09:22:00,2011-05-17 12:59:00,18,9490.17,5420,244,206,463,527.2316666666667,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
14439,2010-01-21 14:01:00,2011-01-24 11:39:00,5,9443.04,2244,105,320,367,1888.6080000000002,2,4,5,11,245,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
17230,2009-12-08 13:41:00,2011-03-20 16:12:00,18,9388.49,3753,141,264,467,521.5827777777778,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
12755,2010-01-15 11:57:00,2011-03-04 12:42:00,12,9030.66,3781,34,281,413,752.555,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
13715,2010-03-11 15:33:00,2011-03-03 19:21:00,18,8425.69,4907,277,281,357,468.0938888888889,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
