month,revenue,orders,active_customers,units_sold,average_order_value
2009-12-01,822483.95,1682,955,425461,488.99164684898926
2010-01-01,651155.112,1105,720,390672,589.2806443438914
2010-02-01,551504.726,1201,772,381879,459.2046011656953
2010-03-01,830915.261,1681,1057,526026,494.29819214753127
2010-04-01,678875.252,1462,942,366705,464.34695759233927
2010-05-01,657705.5,1500,966,395868,438.4703333333333
2010-06-01,749537.31,1645,1041,406820,455.64578115501524
2010-07-01,648810.27,1529,928,337895,424.33634401569657
2010-08-01,695251.91,1425,911,472380,487.8960771929825
2010-09-01,921696.991,1839,1145,583864,501.1946661228929
2010-10-01,1161902.22,2301,1497,619996,504.955332464146
2010-11-01,1464293.142,2747,1607,725161,533.0517444484892
2010-12-01,1259083.75,2393,885,538239,526.1528416213957
2011-01-01,689811.61,1086,741,387099,635.1856445672191
2011-02-01,522545.56,1100,758,282934,475.0414181818182
2011-03-01,716215.26,1454,974,376599,492.58270976616234
2011-04-01,536968.491,1246,856,307953,430.9538451043339
2011-05-01,769296.61,1681,1056,395001,457.642242712671
2011-06-01,760547.01,1533,991,388511,496.116771037182
2011-07-01,718076.121,1475,949,399693,486.8312684745763
2011-08-01,757841.38,1361,935,421020,556.8268772961059
2011-09-01,1056435.192,1837,1266,569573,575.0872030484486
2011-10-01,1151263.73,2040,1364,621029,564.3449656862745
2011-11-01,1503866.78,2769,1664,751377,543.1082629107981
2011-12-01,637808.33,819,615,313613,778.7647496947496
