stock_code,description,revenue,units_sold,orders,sales_rows
22423,REGENCY CAKESTAND 3 TIER,344069.3,27536,4007,4041
M,Manual,340342.68,9753,805,871
DOT,DOTCOM POSTAGE,322657.48,1436,1436,1436
85123A,WHITE HANGING HEART T-LIGHT HOLDER,266582.35,96563,5571,5720
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1
85099B,JUMBO BAG RED RETROSPOT,150640.27,79117,3335,3379
47566,PARTY BUNTING,149109.35,28362,2698,2729
84879,ASSORTED COLOUR BIRD ORNAMENT,131817.81,81590,2867,2911
POST,POSTAGE,127597.42,5461,1886,1886
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123002.89,36534,2117,2168
79321,CHILLI LIGHTS,85157.56,16763,1173,1179
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,250
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74380.06999999999,32498,796,822
85099F,JUMBO BAG STRAWBERRY,69459.81,37285,1879,1899
21137,BLACK RECORD COVER FRAME,69295.72,19945,647,649
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,1017
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63362.350000000006,12420,1659,1676
82484,WOOD BLACK BOARD ANT WHITE FINISH,62778.72,11046,1207,1208
21931,JUMBO STORAGE BAG SUKI,62257.72,29489,2363,2387
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61671.840000000004,19580,1509,1529
15056N,EDWARDIAN PARASOL NATURAL,60663.23,11546,1168,1175
22112,CHOCOLATE HOT WATER BOTTLE,60644.32,11532,1786,1811
21621,VINTAGE UNION JACK BUNTING,60549.54,6931,1304,1319
85099C,JUMBO  BAG BAROQUE BLACK WHITE,60188.73,31170,1903,1926
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,58149.35,27669,2232,2250
22470,HEART OF WICKER LARGE,55772.020000000004,18508,2017,2059
22189,CREAM HEART CARD HOLDER,54547.380000000005,18350,1321,1327
22178,VICTORIAN GLASS HANGING T-LIGHT,53105.59,40572,1839,1864
21623,VINTAGE UNION JACK MEMOBOARD,52082.93,7196,548,549
22111,SCOTTIE DOG HOT WATER BOTTLE,51936.86,10163,1765,1803
21733,RED HANGING HEART T-LIGHT HOLDER,51441.92,17960,1807,1840
22469,HEART OF WICKER SMALL,51088.159999999996,29013,2226,2272
22386,JUMBO BAG PINK POLKADOT,50806.72,25607,1477,1492
21929,JUMBO BAG PINK VINTAGE PAISLEY,50300.82,25937,1639,1651
21843,RED RETROSPOT CAKE STAND,49994.53999999999,4770,1224,1226
21731,RED TOADSTOOL LED NIGHT LIGHT,49508.34,29696,1569,1586
15056BL,EDWARDIAN PARASOL BLACK,49411.71,9726,967,979
21232,STRAWBERRY CERAMIC TRINKET BOX,48529.26,37532,2346,2388
22457,NATURAL SLATE HEART CHALKBOARD,48423.25000000001,15687,2092,2105
82494L,WOODEN FRAME ANTIQUE WHITE,48212.65,16025,2111,2139
21754,HOME BUILDING BLOCK WORD,47774.740000000005,7796,2108,2130
84029E,RED WOOLLY HOTTIE WHITE HEART.,47479.83,11757,1234,1253
21181,PLEASE ONE PERSON METAL SIGN,46950.850000000006,23161,1679,1696
20727,LUNCH BAG  BLACK SKULL.,46283.89,27042,2388,2440
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,9366,1914,1926
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44748.73,15589,1413,1426
21915,RED  HARMONICA IN BOX,44680.05,38088,1057,1063
22197,SMALL POPCORN HOLDER,44068.03,49922,1471,1494
84078A,SET/4 WHITE RETRO STORAGE CUBES,43921.51,1129,329,329
21175,GIN + TONIC DIET METAL SIGN,43044.73,20358,1639,1651
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,42938.17,14707,787,801
48138,DOORMAT UNION FLAG,42858.94,6382,1015,1018
22355,CHARLOTTE BAG SUKI DESIGN,42788.4,28229,1429,1439
20728,LUNCH BAG CARS BLUE,42695.64,24838,2094,2118
23298,SPOTTY BUNTING,42513.48,8320,1140,1154
