campaign_rank,customer_id,decision_date,churn_probability,predicted_churn,saved_model_threshold,policy_risk_floor,probability_alive,historical_revenue,expected_revenue_clv_12m,rfm_value_tier,clv_value_tier,rfm_segment,ml_cluster,cluster_name,recommended_action,action_basis,intervention_cost,assumed_recoverable_share,scenario_revenue_at_risk_proxy,scenario_expected_retention_benefit,scenario_expected_net_benefit,scenario_benefit_cost_ratio,breakeven_recoverable_share,priority_score,decision_status
1,16446,2011-12-10,0.6759717591033788,1.0,0.31000000000000005,0.2,0.9548716943604096,168472.5,282508.431508292,High Value,Strategic,Potential Loyalists,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,190967.72140819655,4583.225313796717,4533.225313796717,91.66450627593434,0.0008727478415601662,100.0,selected
2,12536,2011-12-10,0.4684381344623622,1.0,0.31000000000000005,0.2,0.9098147273971423,12601.830000000002,29088.44429335548,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,13626.136579191787,327.0272779006029,277.0272779006029,6.540545558012058,0.012231395575557356,99.9424791486914,selected
3,16180,2011-12-10,0.8139536503597607,1.0,0.31000000000000005,0.2,0.9377816821088829,16249.87,8384.959714978242,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,6824.968568126079,163.79924563502587,113.79924563502587,3.275984912700517,0.024420136884590528,99.8561978717285,selected
4,12753,2011-12-10,0.3703690172644466,1.0,0.31000000000000005,0.2,0.9777635122328069,21429.39,15848.696601514277,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,5869.866185225217,140.8767884454052,90.8767884454052,2.8175357689081038,0.028393605817825292,99.7986770204199,selected
5,13802,2011-12-10,0.5222267104330351,1.0,0.31000000000000005,0.2,0.8037960749505844,26259.11,10591.851381646342,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,5531.347704432767,132.7523449063864,82.75234490638641,2.655046898127728,0.030131294500452696,99.7699165947656,selected
6,13868,2011-12-10,0.45489925066895853,1.0,0.31000000000000005,0.2,0.9492928409318983,3192.54,12091.153096045027,High Value,Strategic,Potential Loyalists,2,Established Moderate-Value Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,5500.256483114541,132.00615559474898,82.00615559474898,2.6401231118949795,0.03030161723881848,99.7411561691113,selected
7,13027,2011-12-10,0.7230590494352549,1.0,0.31000000000000005,0.2,0.8965512258381372,17239.2,7393.023478844995,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,5345.5925290661835,128.2942206975884,78.2942206975884,2.565884413951768,0.031178333507545047,99.71239574345701,selected
8,18251,2011-12-10,0.46879501904394094,1.0,0.31000000000000005,0.2,0.9694480016308049,26278.86,10901.960075792435,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,5110.784581347398,122.65882995233754,72.65882995233754,2.453176599046751,0.03261077903282063,99.6548748921484,selected
9,12409,2011-12-10,0.5198252142988455,1.0,0.31000000000000005,0.2,0.9660815610522,23419.29,9822.962649311437,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,5106.223664227873,122.54936794146896,72.54936794146896,2.450987358829379,0.0326399072242498,99.62611446649412,selected
10,12454,2011-12-10,0.5247611608358794,1.0,0.31000000000000005,0.2,0.9656182082408387,16679.78,9410.837054595135,High Value,Strategic,Champions,0,At-Risk Return-Heavy Customers,Service recovery,Return-heavy ML behavioral profile,25.0,0.06,4938.441777206652,88.89195198971971,63.891951989719715,3.555678079588789,0.01687441850948974,99.5685936151855,selected
11,12744,2011-12-10,0.32694772112889803,1.0,0.31000000000000005,0.2,0.9768282313245081,25317.059999999998,13675.460833740482,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,4471.1607549789505,107.30785811949481,57.30785811949481,2.1461571623898963,0.03727592806433355,99.53983318953121,selected
12,17940,2011-12-10,0.35693605662212513,1.0,0.31000000000000005,0.2,0.9828190251140589,30306.79,11866.904492462192,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,4235.726093850836,101.65742625242007,51.657426252420066,2.0331485250484014,0.039347838593393226,99.4535519125683,selected
13,12762,2011-12-10,0.5437655315678332,1.0,0.31000000000000005,0.2,0.9483338623241113,1898.52,7641.618499612363,High Value,Strategic,Potential Loyalists,2,Established Moderate-Value Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,4155.248745480305,99.72596989152731,49.72596989152731,1.9945193978305462,0.04010991323875646,99.42479148691402,selected
14,18008,2011-12-10,0.42469780140853003,1.0,0.31000000000000005,0.2,0.9652327082084339,19759.079999999998,9159.327998753208,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3889.9464634500787,93.35871512280188,43.35871512280188,1.8671743024560377,0.04284549112247842,99.3960310612597,selected
15,14277,2011-12-10,0.4654530527549787,1.0,0.31000000000000005,0.2,0.9854849580270401,17197.61,8096.947992320978,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3768.7491610240954,90.44997986457828,40.44997986457828,1.8089995972915656,0.044223337650144315,99.36727063560541,selected
16,16553,2011-12-10,0.6092272360809126,1.0,0.31000000000000005,0.2,0.7435362054814991,16584.010000000002,6059.522224102158,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3691.625976560622,88.59902343745493,38.59902343745493,1.7719804687490985,0.04514722448181087,99.3385102099511,selected
17,12830,2011-12-10,0.4924209999492625,1.0,0.31000000000000005,0.2,0.9567955531445916,6814.64,7408.71638385908,High Value,Strategic,Champions,2,Established Moderate-Value Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3648.207530080372,87.55698072192892,37.55698072192892,1.7511396144385785,0.04568453556779839,99.30974978429681,selected
18,18139,2011-12-10,0.3566630452815777,1.0,0.31000000000000005,0.2,0.9336812944479045,8438.34,10225.26302672378,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3646.973449916426,87.52736279799423,37.52736279799423,1.7505472559598845,0.045699994517504915,99.28098935864251,selected
19,12433,2011-12-10,0.25584733720850933,0.0,0.31000000000000005,0.2,0.9887962344379803,20581.26,14134.220045143968,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3616.2025620692207,86.78886148966129,36.788861489661286,1.7357772297932257,0.0460888636092605,99.2522289329882,selected
20,12435,2011-12-10,0.5827648703641516,1.0,0.31000000000000005,0.2,0.9705981485914481,13925.93,6124.33654445218,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3569.0481923941106,85.65715661745865,35.657156617458654,1.713143132349173,0.04669779103062965,99.2234685073339,selected
21,12678,2011-12-10,0.2219864826837811,0.0,0.31000000000000005,0.2,0.9846266863807158,34281.18,15289.239591487454,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3394.00451982391,81.45610847577383,31.45610847577383,1.6291221695154767,0.049106200564315625,99.19470808167961,selected
22,18087,2011-12-10,0.5253324708553547,1.0,0.31000000000000005,0.2,0.9579173780568442,14761.52,6413.841486377982,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3369.3991957135263,80.86558069712463,30.865580697124628,1.6173116139424926,0.04946480276919881,99.16594765602531,selected
23,12357,2011-12-10,0.5291603142380391,1.0,0.31000000000000005,0.2,0.9491421977292726,18287.66,6303.592250134675,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3335.6108559097324,80.05466054183357,30.05466054183357,1.6010932108366713,0.04996586048740722,99.10842680471671,selected
24,12939,2011-12-10,0.27265992772528985,0.0,0.31000000000000005,0.2,0.9749351453053593,25264.8,11786.310542830623,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3213.654580756019,77.12770993814445,27.12770993814445,1.542554198762889,0.051862035100069155,99.07966637906242,selected
25,12882,2011-12-10,0.6441477812926338,1.0,0.31000000000000005,0.2,0.9470415259297696,1463.04,4977.849326122225,High Value,Strategic,Potential Loyalists,2,Established Moderate-Value Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3206.4705990306634,76.95529437673592,26.95529437673592,1.5391058875347183,0.05197823011913818,99.0509059534081,selected
26,12477,2011-12-10,0.32056007060881486,1.0,0.31000000000000005,0.2,0.9851835524209829,20276.37,9929.997184355721,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3183.160598562403,76.39585436549767,26.39585436549767,1.5279170873099535,0.052358862051112856,99.0221455277538,selected
27,12557,2011-12-10,0.39449312544352794,1.0,0.31000000000000005,0.2,0.985330574561228,18716.14,8040.733347195555,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,3172.0140289931746,76.1283366958362,26.128336695836197,1.522566733916724,0.05254285294556788,98.99338510209951,selected
28,16240,2011-12-10,0.3966301990344374,1.0,0.31000000000000005,0.2,0.939037046243793,3718.8,6219.5231047005445,High Value,Strategic,Potential Loyalists,0,At-Risk Return-Heavy Customers,Service recovery,Return-heavy ML behavioral profile,25.0,0.06,2466.850686916659,44.403312364499854,19.403312364499854,1.7761324945799941,0.03378126360679433,98.96462467644521,selected
29,12950,2011-12-10,0.388742139515845,1.0,0.31000000000000005,0.2,0.9664798789275105,1843.0,7412.5210019871265,High Value,Strategic,Loyal Customers,2,Established Moderate-Value Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2881.559273518611,69.15742256444666,19.157422564446662,1.3831484512889332,0.057839055471919386,98.93586425079091,selected
30,13340,2011-12-10,0.34331966618424353,1.0,0.31000000000000005,0.2,0.9805084184173359,22100.56,8316.090790728123,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2855.077514230641,68.52186034153539,18.521860341535387,1.3704372068307078,0.05837553125473667,98.90710382513662,selected
31,12980,2011-12-10,0.5775235318686528,1.0,0.31000000000000005,0.2,0.6860652986138582,16245.78,4905.039389223652,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2832.775672019303,67.98661612846327,17.986616128463268,1.3597323225692655,0.05883510943450766,98.849582973828,selected
32,14045,2011-12-10,0.5318513296266167,1.0,0.31000000000000005,0.2,0.9426930125688922,11313.029999999999,5043.300252794354,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2682.2859451549293,64.3748626837183,14.374862683718305,1.287497253674366,0.06213605487055556,98.79206212251941,selected
33,13564,2011-12-10,0.5758702689663361,1.0,0.31000000000000005,0.2,0.6014451978770823,17035.02,4674.188257112064,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2691.726048822414,24.225534439401724,14.225534439401724,2.4225534439401724,0.012383627727612222,98.76330169686511,selected
34,15427,2011-12-10,0.5767273582184218,1.0,0.31000000000000005,0.2,0.9200157273486107,1430.54,4538.889383331607,High Value,High,Loyal Customers,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2617.701683294479,23.559315149650313,13.559315149650313,2.3559315149650315,0.012733816670577238,98.73454127121082,selected
35,12451,2011-12-10,0.39034244275044216,1.0,0.31000000000000005,0.2,0.9840390617883388,12669.88,6736.92399716622,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2629.7073696779353,63.112976872270444,13.112976872270444,1.2622595374454089,0.06337840802685153,98.70578084555652,selected
36,15444,2011-12-10,0.5194071862859979,1.0,0.31000000000000005,0.2,0.9476627963829111,1411.21,5005.455853797371,High Value,Strategic,Potential Loyalists,2,Established Moderate-Value Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2599.8697410996697,62.39687378639207,12.39687378639207,1.2479374757278414,0.0641057757748169,98.67702041990222,selected
37,15768,2011-12-10,0.5491076306770445,1.0,0.31000000000000005,0.2,0.6603133034715816,15308.89,4485.524541605039,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2463.035753384479,22.16732178046031,12.167321780460309,2.2167321780460307,0.013533434619261904,98.64825999424791,selected
