rfm_segment,customers,model_eligible_customers,selected_customers,mean_churn_probability,total_expected_revenue_clv_12m,selected_scenario_net_benefit
Potential Loyalists,261,261,116,0.7033474059180059,544882.5206049511,4882.22417603087
Loyal Customers,1190,1156,117,0.5934942243707916,1501979.6097055401,1344.8006768978196
Champions,1423,1423,80,0.3241719678579312,6299907.319761262,771.1712645864211
Promising,164,164,149,0.8110648987901232,160667.68679118337,204.93061215984926
New Customers,75,75,67,0.7292684601688777,100117.34567045135,128.5892706141157
About to Sleep,913,232,168,0.8580870508027327,334773.6634488132,120.41766672925229
Need Attention,169,166,11,0.7661380738569402,94165.90037081268,22.354420802413383
At Risk,431,0,0,,173782.67534547282,0.0
Hibernating,954,0,0,,159868.06392439004,0.0
Cannot Lose Them,298,0,0,,186409.1836694425,0.0
