customer_id,first_purchase,last_purchase,frequency,monetary,total_units,unique_products,recency,tenure_days,average_order_value,r_score,f_score,m_score,rfm_total_score,rfm_code,segment,value_tier,recommended_action
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,77556.46,74285,27,326,400,6463.038333333334,2,5,5,12,255,Cannot Lose Them,High Value,High-priority retention intervention; consider direct outreach and strong personalized incentives.
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,9,5633.32,3286,126,2,402,625.9244444444444,5,5,5,15,555,Champions,High Value,"Reward with VIP benefits, early access, referral incentives, and premium experiences."
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2019.4,2714,25,75,362,403.88,3,4,4,11,344,Loyal Customers,High Value,"Strengthen loyalty through personalized offers, cross-selling, and loyalty rewards."
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,4,4428.69,1624,138,19,570,1107.1725,5,3,5,13,535,Loyal Customers,High Value,"Strengthen loyalty through personalized offers, cross-selling, and loyalty rewards."
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,197,17,310,0,334.4,2,1,2,5,212,About to Sleep,Low Value,Trigger low-cost reactivation campaigns.
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,261,21,375,0,300.93,2,1,2,5,212,About to Sleep,Low Value,Trigger low-cost reactivation campaigns.
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,10,2849.84,724,70,36,356,284.98400000000004,4,5,4,13,454,Champions,High Value,"Reward with VIP benefits, early access, referral incentives, and premium experiences."
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,406.76,212,23,204,204,203.38,2,2,2,6,222,About to Sleep,Low Value,Trigger low-cost reactivation campaigns.
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,232,0,1079.4,2,1,3,6,213,About to Sleep,Medium Value,Trigger low-cost reactivation campaigns.
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,947.61,543,35,214,353,473.805,2,2,3,7,223,About to Sleep,Medium Value,Trigger low-cost reactivation campaigns.
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,6371.73,3416,104,23,401,1061.955,4,4,5,13,445,Champions,High Value,"Reward with VIP benefits, early access, referral incentives, and premium experiences."
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,3,18287.66,6587,261,33,355,6095.886666666666,4,3,5,12,435,Loyal Customers,High Value,"Strengthen loyalty through personalized offers, cross-selling, and loyalty rewards."
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,3887.07,1079,56,2,730,777.414,5,4,5,14,545,Champions,High Value,"Reward with VIP benefits, early access, referral incentives, and premium experiences."
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,8873.39,2739,305,58,676,887.3389999999999,4,5,5,14,455,Champions,High Value,"Reward with VIP benefits, early access, referral incentives, and premium experiences."
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,8,4252.89,2459,160,52,603,531.61125,4,4,5,13,445,Champions,High Value,"Reward with VIP benefits, early access, referral incentives, and premium experiences."
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,511.25,235,18,287,394,127.8125,2,3,2,7,232,At Risk,Low Value,Prioritize retention campaigns and investigate the reason for declining engagement.
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,11,5356.23,2230,201,3,735,486.92999999999995,5,5,5,15,555,Champions,High Value,"Reward with VIP benefits, early access, referral incentives, and premium experiences."
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,408,23,110,132,276.0,3,2,2,7,322,Need Attention,Low Value,Use personalized re-engagement before activity declines further.
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,1506,70,8,104,328.275,5,3,4,12,534,Loyal Customers,High Value,"Strengthen loyalty through personalized offers, cross-selling, and loyalty rewards."
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,174,22,291,0,320.69,2,2,3,7,223,About to Sleep,Medium Value,Trigger low-cost reactivation campaigns.
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,296,3,634,0,500.24,1,1,2,4,112,Hibernating,Low Value,Use inexpensive win-back campaigns and avoid high acquisition-style spending.
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,173,11,4,0,168.9,5,1,1,7,511,New Customers,Low Value,Focus on onboarding and driving the second purchase.
