segment,customers,revenue,average_recency,average_frequency,average_monetary,median_monetary,average_order_value,customer_share_pct,revenue_share_pct
Champions,1423,12189047.705,20.03373155305692,16.49613492621223,8565.739778636684,3625.88,417.0484647282189,24.208914596801634,68.92129051368846
Loyal Customers,1190,2561370.566,77.39243697478992,5.691596638655462,2152.4122403361343,1293.37,373.86916480989254,20.244981286151752,14.482916891044905
Cannot Lose Them,298,1056759.0320000001,339.5536912751678,8.600671140939598,3546.171248322148,1739.22,375.77480197269506,5.069751616195985,5.975298317813599
At Risk,431,518199.94,374.96983758700696,3.3967517401392113,1202.3200464037122,885.71,358.7686542923434,7.332425995236474,2.930090149230073
Hibernating,954,418462.662,555.6488469601677,1.249475890985325,438.640106918239,260.515,347.24842976939203,16.230010207553587,2.366139455258898
About to Sleep,913,399892.47000000003,259.95180722891564,1.2924424972617743,437.9983242059146,309.49,345.01675246440306,15.53249404559374,2.261136863694509
Potential Loyalists,261,339225.11,25.14176245210728,2.0,1299.7130651340995,547.07,649.8565325670497,4.440285811500511,1.918101636952115
Need Attention,169,121752.263,111.3905325443787,2.0,720.4275917159764,603.46,360.2137958579882,2.8751275944198706,0.688431392838002
Promising,164,54716.41,38.890243902439025,1.0,333.63664634146346,224.52,333.63664634146346,2.7900646478394013,0.3093864000490503
New Customers,75,26034.48,11.133333333333333,1.0,347.1264,269.96,347.1264,1.2759441987070432,0.1472083794303939
